Nom;Adresse;lat;lon;Heure d'ouverture;heure fermeture;Categorie;Food;Tabac;Epicerie;Bar
Urfa Dürüm;56 rue du Faubourg Saint-Denis 75010 Paris;48.8722541;2.3544749;12:00;23:00;Fast Food;1;0;0;0
Au P’tit Grec;68 rue Mouffetard 75005 Paris;48.8427596;2.3494768;11:00;23:30;Crêperie;1;0;0;0
Maison du Gyros;26 rue de la Huchette 75005 Paris;48.8532674;2.3452153;11:00;02:00;Restaurant Grec;1;0;0;0
L’As du Fallafel;34 rue des Rosiers 75004 Paris;48.8574054;2.3590672;12:00;00:00;Restaurant Kasher;1;0;0;0
Istambul;132 rue du faubourg Saint Martin 75010 Paris;48.8745359;2.359038;11:00;00:00;Kebab;1;0;0;0
Nabab Kebab;17 boulevard Montmatre 75002 Paris;48.8718484;2.3408953;11:30;00:00;Kebab;1;0;0;0
Miznon;22 rue des Ecouffes 75004 Paris;48.8570941;2.3590088;12:00;23:30;Restaurant Kasher;1;0;0;0
Mina;17 rue Guy de la Brosse 75005 Paris;48.8447908;2.3549418;10:30;22:00;Kebab;1;0;0;0
Restaurant Sarya;13 rue Eugene Varlin 75010 Paris;48.8783497;2.3641109;11:00;23:00;Kebab;1;0;0;0
Meat And Bread;324 rue Saint-Martin 75003 Paris;48.8682374;2.3554765;11:00;20:00;Burger;1;0;0;0
De Clercq les Rois de la Frite;169 rue Montmartre 75002 Paris;48.8712868;2.3427785;11:00;00:00;Restaurant Belge;1;0;0;0
Quick;122 ave Champs Elysées 75008 Paris;48.8728426;2.3003321;05:30;02:00;Fast Food;1;0;0;0
Restaurant Sancak;39 Rue du Faubourg Saint-Denis 75010 Paris;48.8712736;2.3531048;05:00;22:00;Restaurant Turc;1;0;0;0
B&M;82 ave Parmentier 75011 Paris;48.8646636;2.3753742;12:00;23:00;Burger;1;0;0;0
Ya Hala;173 rue Vaugirard 75015 Paris;48.8431527;2.3140801;10:00;23:00;Fast Food;1;0;0;0
Patati Patata;51 rue Lappe 75011 Paris;48.8530005;2.3743342;11:30;23:30;Fast Food;1;0;0;0
Anatolie;79 boulevard Vincent Auriol 75013 Paris;48.8346089;2.3676448;11:00;23:00;Fast Food;1;0;0;0
KFC;21 place de la République 75003 Paris;48.8676452;2.3622243;11:00;00:00;Fast Food;1;0;0;0
Factory & Co;23 cour St-EmilionBercy Village 75012 Paris;48.8327432;2.3860483;11:30;23:30;Restaurant Américain (traditionnel);1;0;0;0
Deli-cieux;Printemps Maison Étage 964 boulevard Haussman 75009 Paris;48.8790183;2.3379063;09:30;20:00;Fast Food;1;0;0;0
King Falafel Palace;26 rue des Rosiers 75004 Paris;48.8572124;2.3594613;11:30;23:30;Restaurant Moyen-Orient;1;0;0;0
Chipotle;1 rue LinoisCentre Commercial Beaugrenelle 75015 Paris;48.8421616;2.2927665;10:00;00:00;Restaurant Mexicain;1;0;0;0
Le Comptoir de Brice;31-33 rue du Château d'Eau 75010 Paris;48.870767;2.3581559;;;Restaurant Français;1;0;0;0
Man’ouché;62 rue Rambuteau 75003 Paris;48.861838;2.3511674;12:00;23:00;Fast Food;1;0;0;0
Tata Burger;54 rue Sainte Croix de la Bretonnerie 75004 Paris;48.8590395;2.3539893;11:00;02:00;Burger;1;0;0;0
Starbucks St-Michel Cluny;13 boulevard St Michel 75006 Paris;48.8534027;2.3436423;07:30;23:00;Café et thé;1;0;0;0
Subway;7 boulevard de Denain 75010 Paris;48.879501;2.354105;08:00;23:00;Fast Food;1;0;0;0
Quartino;19/21 rue Rambuteau 75004 Paris;48.8607221;2.3547694;12:00;22:00;Restaurant Italien;1;0;0;0
Le Paradis du Fruit;23 boulevard des Italiens 75002 Paris;48.871268;2.3359718;12:00;02:00;Bar à jus de fruits & smoothies;1;0;0;0
Mcdonald’s;140 ave Champs Elysées 75008 Paris;48.8730614;2.2991514;07:00;02:00;Fast Food;1;0;0;0
Cactus;48 rue Laffitte 75009 Paris;48.8749346;2.3386053;11:00;22:00;Restaurant Mexicain;1;0;0;0
Burger King;Centre Commercial Gare Saint-Lazare13 rue d'Amsterdam 75008 Paris;48.8794698;2.3267588;09:30;00:00;Burger;1;0;0;0
Starbucks;4 rue de Sèze 75009 Paris;48.87039;2.3274959;07:30;20:30;Café;1;0;0;0
Boulangerie Au petit Versailles du Marais;1 rue Tiron 75004 Paris;48.8555325;2.3577241;07:00;20:00;Fast Food;1;0;0;0
M.O.B Paris;34 quai d'Austerlitz 75013 Paris;48.8408473;2.3696501;12:00;00:00;Restaurant Végétalien;1;0;0;0
Pret A Manger;16 bis boulevard Montmartre 75009 Paris;48.8721388;2.3411542;07:30;22:00;Salade;1;0;0;0
Starbucks St-Michel Cluny;24 boulevard Saint Michel 75006 Paris;48.8506435;2.3428257;07:30;21:00;Café et thé;1;0;0;0
Gabe;83 rue de Turbigo 75003 Paris;48.8666948;2.3608022;11:30;21:00;Fast Food;1;0;0;0
Joy;8 rue Gomboust 75001 Paris;48.8674235;2.3328693;11:00;20:00;Fast Food;1;0;0;0
McDonald’s;140 avenue des Champs-Elysées 75008 Paris;48.8730614;2.2991514;07:00;02:00;Fast Food;1;0;0;0
iyo;19 rue Mogador 75009 Paris;48.8747275;2.3313377;11:00;22:00;Restaurant Asiatique;1;0;0;0
Iyo;Rue Lafayette 75009 Paris;48.8751209;2.340996;11:00;22:00;Restaurant Japonais;1;0;0;0
Quick;4 avenue du Trône 75012 Paris;48.8479562;2.3976025;09:00;02:00;Fast Food;1;0;0;0
Quick;2 rue d'Amsterdam 75009 Paris;48.8758864;2.3269479;07:00;02:00;Fast Food;1;0;0;0
Starbucks Coffee;4 place de Clichy 75009 Paris;48.8833326;2.3279056;07:30;21:00;Café et thé;1;0;0;0
Pret A Manger;Centre Commercial Les Quatre Temps 75008 Paris;48.8718722;2.3176432;08:00;23:00;Fast Food;1;0;0;0
Ptitgibis Café;3-5 rue du Pot de FerQuartier Mouffetard 75005 Paris;48.8421113;2.3498974;;;Fast Food;1;0;0;0
Le Petit Augustin;7 Place Saint Augustin 75008 Paris;48.8751952;2.3191698;09:00;20:00;Fast Food;1;0;0;0
De Clercq;103 rue de Tolbiac 75013 Paris;48.8266312;2.3650022;11:00;22:00;Friterie;1;0;0;0
Mcdonald’s;234 ave de Versailles 75016 Paris;48.8385355;2.2579517;07:00;00:00;Burger;1;0;0;0
Pastapapa;30 rue Mogador 75009 Paris;48.8756647;2.3313368;11:00;00:00;Restaurant Italien;1;0;0;0
McDonald’s;184 rue de Rivoli 75001 Paris;48.8634801;2.3336078;07:00;23:00;Fast Food;1;0;0;0
Starbucks;77 rue Rambuteau 75001 Paris;48.8620254;2.3496854;07:30;21:00;Fast Food;1;0;0;0
